source_ecli,count
ECLI:CE:ECHR:2002:1128JUD005844200,52
ECLI:CE:ECHR:2015:0505JUD003527910,52
ECLI:CE:ECHR:2011:1115JUD002873506,52
ECLI:CE:ECHR:2013:1217JUD002751008,51
ECLI:CE:ECHR:2016:0531JUD006973511,51
ECLI:CE:ECHR:2008:0724JUD003637604,51
ECLI:CE:ECHR:2023:0413JUD007008912,51
ECLI:CE:ECHR:2004:1217JUD003334896,51
ECLI:CE:ECHR:2011:1103JUD003497306,51
ECLI:CE:ECHR:2008:1211JUD000629304,51
ECLI:CE:ECHR:2007:0621JUD000310205,51
ECLI:CE:ECHR:2013:0716JUD000156210,51
ECLI:CE:ECHR:2015:1006JUD001539702,51
ECLI:CE:ECHR:2023:1005JUD002569219,51
ECLI:CE:ECHR:2009:0122JUD000041203,51
ECLI:CE:ECHR:2023:1214JUD001356713,51
ECLI:CE:ECHR:2009:1217JUD001935904,51
ECLI:CE:ECHR:2022:1006JUD003559920,51
ECLI:CE:ECHR:2022:0628JUD006425116,51
ECLI:CE:ECHR:2023:1123JUD001220518,51
ECLI:CE:ECHR:2007:0626JUD002595906,50
ECLI:CE:ECHR:2018:0628JUD006079810,50
ECLI:CE:ECHR:2024:0423JUD003701315,50
ECLI:CE:ECHR:2019:0214JUD000555610,50
ECLI:CE:ECHR:2014:0904JUD000014010,50
ECLI:CE:ECHR:2010:1104JUD003179908,50
ECLI:CE:ECHR:2020:1008JUD007740014,50
ECLI:CE:ECHR:2011:0607JUD003944606,50
ECLI:CE:ECHR:2014:0128JUD003581009,50
ECLI:CE:ECHR:2015:0602JUD001332002,50
ECLI:CE:ECHR:2015:0402JUD002113509,50
ECLI:CE:ECHR:2019:0604JUD003975715,50
ECLI:CE:ECHR:2023:0608JUD000331619,50
ECLI:CE:ECHR:2024:0201JUD003690419,50
ECLI:CE:ECHR:2010:1209JUD000779808,49
ECLI:CE:ECHR:2008:0708JUD006348000,49
ECLI:CE:ECHR:2013:0723JUD005535212,49
ECLI:CE:ECHR:2009:0219JUD000345505,49
ECLI:CE:ECHR:2023:0515JUD004558115,49
ECLI:CE:ECHR:2023:1005JUD001704919,49
ECLI:CE:ECHR:2018:0605JUD000088915,49
ECLI:CE:ECHR:2016:0114JUD006806012,49
ECLI:CE:ECHR:2016:0523JUD001750207,49
ECLI:CE:ECHR:2021:0309JUD000157107,49
ECLI:CE:ECHR:2016:0218JUD000609106,49
ECLI:CE:ECHR:2008:0717JUD006364700,49
ECLI:CE:ECHR:2008:0708JUD006347700,49
ECLI:CE:ECHR:2020:0310JUD002481614,49
ECLI:CE:ECHR:2025:0107JUD005901217,49
ECLI:CE:ECHR:2021:0916JUD000664814,49
ECLI:CE:ECHR:2009:0630JUD003277202,49
ECLI:CE:ECHR:2016:0623JUD002026112,49
ECLI:CE:ECHR:2014:0318JUD002406903,49
ECLI:CE:ECHR:2023:1102JUD001530419,48
ECLI:CE:ECHR:2024:0423JUD003930018,48
ECLI:CE:ECHR:2016:0901JUD003631406,48
ECLI:CE:ECHR:2023:1123JUD001088121,48
ECLI:CE:ECHR:2013:0115JUD004842010,48
ECLI:CE:ECHR:2010:1007JUD003007806,48
ECLI:CE:ECHR:2017:0117JUD000603313,48
ECLI:CE:ECHR:2021:0311JUD000277818,48
ECLI:CE:ECHR:2024:0514JUD007519417,48
ECLI:CE:ECHR:2018:0111JUD001061316,48
ECLI:CE:ECHR:2023:1128JUD001826918,48
ECLI:CE:ECHR:2013:1107JUD001397705,48
ECLI:CE:ECHR:2012:0612JUD001511207,48
ECLI:CE:ECHR:2004:1005JUD004550899,48
ECLI:CE:ECHR:2020:1119JUD000192014,48
ECLI:CE:ECHR:2012:0912JUD001059308,48
ECLI:CE:ECHR:2011:0726JUD003548505,48
ECLI:CE:ECHR:2017:0627JUD000093113,48
ECLI:CE:ECHR:2007:0717JUD000315005,48
ECLI:CE:ECHR:2022:0301JUD001909020,48
ECLI:CE:ECHR:2015:0205JUD002225108,47
ECLI:CE:ECHR:2012:0207JUD003995408,47
ECLI:CE:ECHR:2024:0411JUD004013321,47
ECLI:CE:ECHR:2018:1106JUD000328910,47
ECLI:CE:ECHR:2024:0111JUD005904018,47
ECLI:CE:ECHR:2009:1217JUD003270404,47
ECLI:CE:ECHR:2015:1112JUD001452105,47
ECLI:CE:ECHR:2016:0317JUD000520710,47
ECLI:CE:ECHR:2011:0524JUD000664408,47
ECLI:CE:ECHR:2012:1113JUD001086509,47
ECLI:CE:ECHR:2018:1022JUD003555312,47
ECLI:CE:ECHR:2011:0118JUD003940104,47
ECLI:CE:ECHR:2023:1102JUD003852116,47
ECLI:CE:ECHR:2021:0520JUD000531211,47
ECLI:CE:ECHR:2024:0611JUD003248319,47
ECLI:CE:ECHR:2015:0414JUD002401405,47
ECLI:CE:ECHR:2016:0105JUD007456812,47
ECLI:CE:ECHR:2024:0111JUD005788218,47
ECLI:CE:ECHR:2015:1222JUD003719408,47
ECLI:CE:ECHR:2018:0320JUD001653817,47
ECLI:CE:ECHR:2019:1031JUD002161316,47
ECLI:CE:ECHR:2016:0412JUD006460212,47
ECLI:CE:ECHR:2016:0323JUD004715206,47
ECLI:CE:ECHR:2023:0404JUD004367416,47
ECLI:CE:ECHR:2019:0129JUD002322616,47
ECLI:CE:ECHR:2022:1013JUD007253517,47
ECLI:CE:ECHR:2016:0211JUD006736011,47
ECLI:CE:ECHR:2016:0112JUD000384010,47
ECLI:CE:ECHR:2022:1215JUD002116420,46
ECLI:CE:ECHR:2012:1025JUD007124301,46
ECLI:CE:ECHR:2004:0617JUD005827800,46
ECLI:CE:ECHR:2011:0531JUD000582904,46
ECLI:CE:ECHR:2023:1024JUD005866517,46
ECLI:CE:ECHR:2012:0529JUD001656308,46
ECLI:CE:ECHR:2013:0514JUD006652911,46
ECLI:CE:ECHR:2017:0413JUD001065310,46
ECLI:CE:ECHR:2020:0109JUD005401207,46
ECLI:CE:ECHR:2017:0530JUD007594711,46
ECLI:CE:ECHR:2018:1218JUD003665805,46
ECLI:CE:ECHR:2007:1213JUD003245705,46
ECLI:CE:ECHR:2023:0907JUD004362716,46
ECLI:CE:ECHR:2015:0625JUD002552110,45
ECLI:CE:ECHR:2012:0117JUD000813909,45
ECLI:CE:ECHR:2024:0912JUD003695221,45
ECLI:CE:ECHR:2012:0110JUD001597390,45
ECLI:CE:ECHR:2016:0630JUD005136209,45
