ecli,references
ECLI:CE:ECHR:2012:0612JUD001967303,['ECLI:CE:ECHR:2011:0927JUD002327207']
ECLI:CE:ECHR:2012:0612JUD002951810,['ECLI:CE:ECHR:2011:0526JUD002761704']
ECLI:CE:ECHR:2012:0612JUD003018907,[]
ECLI:CE:ECHR:2012:0612JUD004273005,"['ECLI:CE:ECHR:2010:1102JUD002127203', 'ECLI:CE:ECHR:2013:0129JUD006661009']"
ECLI:CE:ECHR:2012:0612JUD006059310,[]
ECLI:CE:ECHR:2012:0619JUD001776708,['ECLI:CE:ECHR:2012:0214JUD001797207']
ECLI:CE:ECHR:2012:0619JUD002153405,['ECLI:CE:ECHR:2011:0503JUD000568908']
ECLI:CE:ECHR:2012:0619JUD002288305,"['ECLI:CE:ECHR:2012:0117JUD003676006', 'ECLI:CE:ECHR:2012:0313JUD003206005', 'ECLI:CE:ECHR:2012:1106JUD003223804']"
ECLI:CE:ECHR:2012:0619JUD002940005,['ECLI:CE:ECHR:2011:0106JUD003493204']
ECLI:CE:ECHR:2012:0619JUD003693706,[]
ECLI:CE:ECHR:2012:0621JUD003509307,['ECLI:CE:ECHR:2012:0515JUD002389303']
ECLI:CE:ECHR:2012:0626JUD001577805,['ECLI:CE:ECHR:2012:0322JUD003007806']
ECLI:CE:ECHR:2012:0626JUD002682806,['ECLI:CE:ECHR:2009:1201JUD000867305']
ECLI:CE:ECHR:2012:0626JUD003337607,[]
ECLI:CE:ECHR:2012:0628JUD000330010,[]
ECLI:CE:ECHR:2012:0629JUD002739606,[]
ECLI:CE:ECHR:2012:0703JUD000649211,['ECLI:CE:ECHR:2011:0421JUD004231004']
ECLI:CE:ECHR:2012:0703JUD001120910,"['ECLI:CE:ECHR:2011:1115JUD004820509', 'ECLI:CE:ECHR:2012:0117JUD003676006', 'ECLI:CE:ECHR:2010:1021JUD002540409', 'ECLI:CE:ECHR:2013:0425JUD007138610', 'ECLI:CE:ECHR:2012:1106JUD003223804', 'ECLI:CE:ECHR:2013:1003JUD003189011']"
ECLI:CE:ECHR:2012:0703JUD002178007,[]
ECLI:CE:ECHR:2012:0703JUD003480604,"['ECLI:CE:ECHR:2012:0117JUD003676006', 'ECLI:CE:ECHR:2012:1106JUD003223804']"
ECLI:CE:ECHR:2012:0703JUD005217810,[]
ECLI:CE:ECHR:2012:0705JUD004171606,"['ECLI:CE:ECHR:2010:0930JUD001245104', 'ECLI:CE:ECHR:2010:1019JUD002099904']"
ECLI:CE:ECHR:2012:0710DEC005836910,"['ECLI:CE:ECHR:2012:0322JUD003007806', 'ECLI:CE:ECHR:2010:0914JUD000699108']"
ECLI:CE:ECHR:2012:0710JUD000432011,['ECLI:CE:ECHR:2011:0712JUD001473709']
ECLI:CE:ECHR:2012:0710JUD004275009,['ECLI:CE:ECHR:2011:0908JUD003310805']
ECLI:CE:ECHR:2012:0710JUD005833109,[]
